all-in-one	debian-trixie-rover-0.41.0
all-in-one	latest
nginx	1
nginx	1.29
nginx	1.31
nginx	buildcache
nginx	latest
static	buildcache
static	latest
buildcache	agent-alpine
buildcache	agent-debian
buildcache	agents-alpine
buildcache	agents-debian
buildcache	all-in-one-alpine
buildcache	all-in-one-debian
buildcache	alpine
buildcache	aws
buildcache	aws-alpine
buildcache	aws-debian
buildcache	claude
buildcache	claude-alpine
buildcache	claude-debian
buildcache	debian
buildcache	flutter
buildcache	flutter-alpine
buildcache	flutter-debian
buildcache	golang-alpine
buildcache	golang-debian
buildcache	nginx
buildcache	nginx-alpine
buildcache	python-alpine
buildcache	python-debian
buildcache	rover
buildcache	rover-debian
buildcache	static
buildcache	static-alpine
buildcache	typescript-alpine
buildcache	typescript-debian
